sample_date,year,quad_id,depth_cm,avg_height_cm
6/8/2022,2022,8,80,75
6/8/2022,2022,9,83,74
6/8/2022,2022,10,85,75
6/8/2022,2022,11,103,82
6/8/2022,2022,12,105,45
6/8/2022,2022,13,80,62
6/8/2022,2022,14,90,80
6/8/2022,2022,15,94,74
6/8/2022,2022,16,80,78
6/8/2022,2022,17,78,86
6/8/2022,2022,18,69,72
6/8/2022,2022,19,103,85
6/8/2022,2022,20,159,
6/8/2022,2022,21,167,65
6/20/2022,2022,1,87,90
6/20/2022,2022,2,72,88
6/20/2022,2022,3,91,88
6/20/2022,2022,4,92,118
6/20/2022,2022,5,105,124
6/20/2022,2022,6,120,147
6/20/2022,2022,7,101,110
6/20/2022,2022,8,75,70
6/20/2022,2022,9,77,94
6/20/2022,2022,10,91,111
6/20/2022,2022,11,88,84
6/20/2022,2022,12,100,85
6/20/2022,2022,13,91,111
6/20/2022,2022,14,100,122
6/20/2022,2022,15,94,115
6/20/2022,2022,16,84,91
6/20/2022,2022,17,86,92
6/20/2022,2022,18,70,84
6/20/2022,2022,19,105,
6/20/2022,2022,20,94,112
6/20/2022,2022,21,130,140
7/7/2022,2022,1,85,153
7/7/2022,2022,2,80,108
7/7/2022,2022,3,94,147
7/7/2022,2022,4,91,148
7/7/2022,2022,5,92,154
7/7/2022,2022,6,105,165
7/7/2022,2022,7,100,137
7/7/2022,2022,8,94,123
7/7/2022,2022,9,85,120
7/7/2022,2022,10,100,125
7/7/2022,2022,11,144,178
7/7/2022,2022,12,110,132
7/7/2022,2022,13,89,136
7/7/2022,2022,14,110,147
7/7/2022,2022,15,100,142
7/7/2022,2022,16,86,123
7/7/2022,2022,17,80,122
7/7/2022,2022,18,75,100
7/7/2022,2022,19,110,154
7/7/2022,2022,20,113,134
7/7/2022,2022,21,146,178
7/20/2022,2022,1,91,146
7/20/2022,2022,2,86,165
7/20/2022,2022,3,94,152
7/20/2022,2022,4,92,118
7/20/2022,2022,5,105,139
7/20/2022,2022,6,115,150
7/20/2022,2022,7,110,143
7/20/2022,2022,8,85,130
7/20/2022,2022,9,90,122
7/20/2022,2022,10,100,135
7/20/2022,2022,11,120,160
7/20/2022,2022,12,122,146
7/20/2022,2022,13,105,
7/20/2022,2022,14,111,132
7/20/2022,2022,15,100,146
7/20/2022,2022,16,90,133
7/20/2022,2022,17,88,138
7/20/2022,2022,18,110,129
7/20/2022,2022,19,105,128
7/20/2022,2022,20,150,
7/20/2022,2022,21,178,206
8/1/2022,2022,1,86,135
8/1/2022,2022,2,93,151
8/1/2022,2022,3,93,149
8/1/2022,2022,4,100,138
8/1/2022,2022,5,104,149
8/1/2022,2022,6,120,167
8/1/2022,2022,7,115,166
8/1/2022,2022,8,77,120
8/1/2022,2022,9,75,121
8/1/2022,2022,10,73,151
8/1/2022,2022,11,107,162
8/1/2022,2022,12,112,
8/1/2022,2022,13,84,
8/1/2022,2022,14,105,157
8/1/2022,2022,15,90,154
8/1/2022,2022,16,86,140
8/1/2022,2022,17,80,146
8/1/2022,2022,18,69,138
8/1/2022,2022,19,107,157
8/1/2022,2022,20,95,142
8/1/2022,2022,21,145,
8/17/2022,2022,1,92,148
8/17/2022,2022,2,91,164
8/17/2022,2022,3,94,163
8/17/2022,2022,4,116,131
8/17/2022,2022,5,100,190
8/17/2022,2022,6,115,185
8/17/2022,2022,7,101,173
8/17/2022,2022,8,78,135
8/17/2022,2022,9,82,158
8/17/2022,2022,10,90,170
8/17/2022,2022,11,109,172
8/17/2022,2022,12,110,
8/17/2022,2022,13,83,
8/17/2022,2022,14,125,
8/17/2022,2022,15,92,170
8/17/2022,2022,16,70,159
8/17/2022,2022,17,78,148
8/17/2022,2022,18,70,129
8/17/2022,2022,19,60,151
8/17/2022,2022,20,120,162
8/17/2022,2022,21,160,210
